factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
-0.9823175 -0.4541061 -0.7706564 -1.931784 -3.070793 -1.727497 -1.597663 0.2559899 -0.9010669 -1.472273 -1.060593 0.6093006 -0.5048789 -3.188469 -1.103329 -2.772767 -1.744392 -0.3856037 -0.9902208 -1.999785 -1.796076 -1.955387 -2.317752 -1.966644 -1.819396 1.872288 1943.443 -70.39089 -2095.488 -2.549344 -2.828843 -2.238561 -3.806188 -2.74581 -9.741924 47.72195 3789.702 5.174692 1.352544 12.09798
0.1342705 0.1892457 -0.3114759 -1.664449 -2.070918 -1.464087 -1.214935 -0.08168816 -0.9181884 -2.515245 -0.5412228 -0.5771042 -4.286854 -3.700247 -2.670678 -3.089946 -2.563213 -0.8247013 -2.186622 -1.70747 -2.148476 -2.384395 -1.982068 -2.167473 -1.74061 -0.09203851 2388.737 -202.029 -2261.058 -3.771587 -3.5578 -3.263268 -2.593323 -0.7790664 4.858406 -14.80314 1928.196 -6.033472 -1.040896 -19.08627
-0.7652475 -1.14182 -1.211548 -2.426366 -2.303266 -2.073426 -1.123788 0.006908115 -1.567686 -2.561974 -1.499171 -0.1964645 -4.910714 -2.833281 -4.242914 -3.586315 -4.788387 -2.707843 -2.328516 -2.226044 -1.211734 -2.499888 -3.620339 -4.15039 -1.668023 -0.05041521 2075.55 -37.29358 -1886.119 -1.240861 -2.317924 -1.776638 -2.953108 -8.720599 -0.8741835 27.39269 285.5804 -0.9100626 3.213378 -24.95046
-0.2826165 -0.4429215 -0.502439 -1.718594 -2.419191 -1.431057 -1.513057 0.05697836 -1.455957 -2.889084 -1.553986 -1.027888 -2.729165 -3.370842 -3.524512 -2.962564 -4.162375 -3.380475 -2.925443 -1.893843 -2.038234 -2.590921 -3.358828 -3.151618 -2.487397 -0.9250157 2151.694 -20.94706 -1891.36 -3.553215 -4.844212 -3.850097 -3.433542 4.811788 -7.964401 45.27281 -294.3964 26.26236 -0.776509 -8.394036
-0.2542817 -0.3437417 -0.5812768 -2.545338 -3.37857 -2.388197 -1.055819 -0.4670363 -1.919302 -2.423042 -1.170724 -0.7035803 -3.471912 -4.478824 -3.282582 -3.379618 -3.09793 -4.244136 -2.25411 -1.168298 -2.220332 -2.279579 -2.857096 -0.1359864 -2.361371 -1.945114 2265.234 -33.93807 -1970.242 -1.057386 -3.641831 -1.89973 -2.172523 -0.6818039 -3.773696 -12.92969 -486.0668 -3.757397 0.4877316 -3.931375
0.04643244 -0.1013858 -0.282258 -1.529924 -2.474387 -1.240456 -1.227525 -0.6024468 -2.944086 -3.588847 -2.913042 -1.209284 -3.432819 -4.925706 -5.032875 -4.382201 -3.317512 -3.117824 -3.495006 -2.612517 -2.832964 -3.107451 -4.918164 -3.162066 -3.398944 -3.140325 1880.256 -120.0104 -1508.586 -3.842451 -2.763454 -2.844947 -2.147974 2.379044 -4.450879 -4.948838 -2011.838 -5.496941 -0.4901396 -24.00916
-0.1867913 -0.1398004 -0.3665435 -1.932312 -2.414344 -1.915823 -1.27446 0.6009847 -3.550411 -3.909738 -3.395329 -2.099626 -4.172579 -5.41612 -5.172709 -4.852478 -4.979139 -4.814343 -4.524493 -4.66042 -4.390874 -3.849624 -4.914447 -3.899266 -4.137203 -4.386459 1342.476 92.40035 -974.2317 -5.153371 -4.412444 -3.629359 -5.090132 -3.719401 -4.536578 16.77118 -3709.002 -0.2516953 -4.622834 -15.08598
-0.2326227 -0.4749816 -0.6521661 -1.639345 -2.61411 -1.826936 -1.774642 0.324113 -2.92538 -4.339153 -3.249006 -3.149177 -5.840012 -6.622018 -4.81245 -5.174827 -5.598006 -6.429403 -4.186228 -3.193896 -4.32254 -4.392175 -5.023219 -4.164148 -3.991803 -2.216492 1236.08 -74.3846 -896.8695 -4.541048 -3.735813 -6.069923 -4.304134 -0.6663447 -7.107343 41.09719 -1851.658 8.036527 -2.803213 -0.289234
-0.7549251 -0.7183251 -0.247775 -1.258597 -2.416121 -1.362272 -1.526711 0.2625646 -3.539241 -5.160689 -3.130457 -2.577589 -3.685566 -5.344984 -5.929989 -5.140673 -5.598727 -5.870107 -4.637191 -3.894859 -3.674999 -4.582433 -5.211185 -4.255925 -3.319655 -3.978823 940.8898 -142.6339 -1303.809 -3.387243 -2.913588 -5.332053 -4.018012 -4.889579 -3.303598 -0.1500317 6692.847 -1.073459 -3.13222 -37.40097
-0.246551 -0.2637024 -0.3968641 -2.158894 -2.529878 -1.603583 -0.9712572 0.1204233 -3.027705 -5.105348 -4.251631 -2.650578 -4.470439 -5.748431 -4.382997 -5.58785 -7.04378 -5.301091 -4.154738 -3.341139 -4.092043 -4.668427 -4.768145 -4.683841 -4.068621 -2.438711 1437.841 -100.9906 -1209.696 -4.939901 -4.523558 -5.194477 -4.607236 -11.39003 -8.427676 -10.27662 -869.4304 4.3375 -0.09994002 -12.49015
-0.9560062 -0.1226916 -0.3485767 -2.125781 -2.848817 -1.66297 -2.037032 0.3217878 -3.116373 -4.744672 -3.107569 -2.500793 -7.448927 -6.126333 -5.39171 -4.615433 -3.733533 -4.843505 -4.010869 -1.860964 -3.354667 -3.556874 -5.71908 -4.844333 -3.856122 -0.9084735 1676.829 -61.34105 -1662.715 -2.938332 -5.051024 -5.3951 -4.503803 0.9039024 -1.088931 -18.01416 587.8624 2.597821 2.247723 -28.61897
