factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
1.465048 3.445944 5.603698 -0.9920339 -1.044009 -2.461053 -2.623252 0.2975883 4.387356 4.211118 5.141776 4.226175 5.181861 5.12508 4.064492 6.890203 4.484277 6.524884 5.469068 2.598006 4.37423 3.260635 5.702739 4.946238 3.594681 7.602921 16361.86 -53.9686 35288.67 5.260321 7.893187 9.560326 1.848524 5.597927 -9.88699 40.18008 -16203.29 -1841.406 9.99455 -81.51635
0.7049297 2.504304 3.758065 -1.616846 -1.515757 -2.559714 -2.24531 0.1468059 5.8119 6.305086 7.461329 6.209311 3.863843 5.639521 8.347011 7.136064 7.777669 7.142529 6.354455 4.649323 6.283597 5.0123 5.332621 5.008315 5.187278 9.449936 65635.6 40.41756 67066.92 3.524366 2.527672 7.610168 1.927229 0.061748 -24.60085 9.506353 31043.94 65873.92 5.633387 21.82592
1.280687 3.361816 4.381798 -1.614413 -1.203829 -2.567976 -1.627684 -0.1281033 4.731425 5.201195 6.469372 5.93285 3.660063 6.322793 8.795817 5.559931 5.378385 3.873893 4.551189 5.748473 5.769679 3.816906 6.245341 4.584501 4.4827 5.01825 28337.51 -10.46412 58008.12 8.478512 8.065396 8.058376 5.373544 11.87298 -12.52242 5.824869 13776.72 104955.3 4.363914 1.824915
1.738576 3.218818 5.330964 -1.698542 -0.9956575 -2.358287 -1.789651 0.06367546 5.681588 6.047322 6.500298 5.966551 3.722792 7.368755 10.49659 7.475015 5.054847 6.492748 4.517316 3.035588 6.193916 4.59609 5.030929 4.680771 5.30602 8.51991 -18945.55 50.27607 -51526.71 8.616554 5.002153 4.769008 1.408354 2.329118 -7.777482 -15.36152 8802.486 20793.3 13.43483 -87.23869
0.4163032 2.324834 3.984345 -1.948446 -2.048551 -3.134548 -2.82026 0.07470402 5.612458 5.190348 8.696116 6.990944 4.271172 7.188916 5.835307 6.262689 6.799396 6.100632 5.967675 5.669062 6.115369 5.2802 6.397882 4.522373 5.892316 11.0783 221759.9 -140.7219 -107728.1 5.711907 9.378276 7.79433 2.363203 -0.1686987 -13.16966 21.73931 17405.01 205102.4 9.242546 -79.09474
1.524457 2.557704 4.917549 -1.590002 -1.644597 -3.005354 -0.5579443 -0.07844836 5.955708 5.407881 7.05484 6.789001 3.466023 7.001575 5.987962 6.952946 8.704447 4.374214 6.620115 3.802307 4.84164 5.374846 8.314632 6.218268 5.356394 5.018067 -112508.2 34.61045 -9681.918 6.161203 7.295803 8.713143 2.10516 -1.76598 -5.947125 29.19415 125114.8 -45355.7 9.400309 -44.50393
1.621281 2.326912 3.385085 -2.270095 -2.166524 -2.947465 -2.63845 1.523138 4.548811 4.537618 6.908702 5.238498 1.422673 4.240941 3.361185 5.636297 5.439819 4.584391 5.757428 2.669853 4.609944 4.194535 5.009596 2.739353 5.14717 8.182502 -68234.27 5.214123 -9158.887 8.877573 13.59821 4.269649 0.8110213 4.620731 -9.150073 12.81744 191959.5 139494.7 4.846107 52.39112
1.631683 2.436768 3.99048 -0.6472014 -0.6335812 -1.924691 -1.050416 0.2616213 6.1974 5.835316 7.868157 5.639101 2.337129 3.441173 7.136304 6.357964 7.216204 4.68192 7.71967 -0.7878405 6.584308 4.462882 4.870827 3.794676 5.430941 7.633914 59172.81 68.2756 62314.47 7.330789 7.578545 8.779868 0.5361801 2.318164 -13.28066 18.50564 49593.65 7687.321 17.31114 -19.54945
1.394932 4.10955 4.8294 -1.599465 -2.221341 -3.024191 -1.823778 0.4269799 6.746898 6.93935 8.371682 7.234296 7.22966 5.821579 5.989214 6.953373 4.647343 4.652076 9.400807 1.797358 7.432232 6.13348 7.573138 5.580144 5.956766 9.260648 84103.32 -13.86926 -135216.2 10.74088 0.3402811 4.672645 3.278305 4.994804 -17.71801 35.48115 108690.1 -149969.7 12.20675 113.5741
1.182374 2.95645 5.442531 -2.059285 -1.896079 -2.477315 -2.087347 -0.04525821 8.130858 8.280204 9.634083 6.988179 7.155221 8.782693 8.634075 9.263496 5.371908 6.246486 9.375229 5.61768 8.144011 6.621088 8.315366 6.124807 7.571619 8.312603 -73697.04 24.17317 150225.1 11.3517 7.89409 9.32724 4.345114 10.38897 -0.6391809 59.39493 -86054.24 -38470.67 15.34362 33.04337
1.299547 2.785776 5.211144 -1.795258 -1.697585 -2.277528 -1.586916 -0.2406056 8.420237 8.648533 9.900535 8.19095 7.202926 8.73554 10.90432 8.805196 9.656514 7.989345 9.252692 4.042675 9.768217 9.243243 9.687422 11.18972 8.420875 9.284619 116649.8 -46.21405 46907.6 8.948494 8.097899 5.656459 6.067924 9.770183 -12.35055 24.43771 -34235.79 -155874.4 17.65844 -7.416342
1.060239 3.478567 4.884162 -1.185626 -1.31393 -2.673705 -1.852215 0.2867917 8.208311 8.538296 9.796159 7.888825 6.154695 8.733153 12.01641 10.18573 7.359125 4.730939 8.777419 9.334448 8.660207 6.402976 7.801487 7.673748 7.247205 9.883325 151658 13.1393 176608.4 12.96967 3.191208 7.313258 7.504375 8.256591 -27.11882 47.751 140380.1 -182522.9 5.27514 -26.96383
1.517391 2.05284 4.421649 -1.258417 -2.053656 -3.154458 -2.209937 0.8019227 7.589146 7.441964 10.40052 5.137316 7.1518 8.230596 6.095486 8.752206 7.851928 7.881559 9.527111 6.434583 8.242757 5.997276 8.649219 6.953107 7.505591 9.988528 184997 44.39991 150692.6 9.09213 4.288011 7.603745 1.000618 5.13613 -15.27746 40.30422 -7389.823 -77134.56 12.19867 -62.46453
0.9173024 2.438987 3.170076 -2.183638 -2.79133 -3.556376 -1.774593 -0.1348967 8.337185 8.76372 9.587187 9.70848 5.066399 8.123619 6.802153 9.205393 6.205922 6.511668 8.780238 5.059906 10.30532 7.174902 9.23842 6.036473 8.367779 12.09444 -27997.38 -7.52979 50643.92 11.38313 3.14082 7.598068 6.043916 9.706603 -10.03474 32.11787 3700.06 -44574.26 14.69457 16.6379
0.9990231 3.023656 4.79655 -2.216746 -2.474823 -2.731921 -2.637092 0.1195095 7.267439 7.102165 9.045454 6.486503 7.162245 7.636042 7.038854 8.421827 4.908175 6.06175 6.745157 6.501401 6.837555 7.259952 8.069412 4.779769 7.583864 7.510595 -26273.26 -33.39755 -111146.2 8.851426 9.213866 9.157338 7.342921 20.46493 -13.35178 23.05173 178317.5 124364.9 9.585326 89.03506
1.688678 2.373828 3.572845 -2.098051 -2.027414 -2.238444 -2.284461 -0.03896465 7.161846 7.659303 8.604873 8.687046 7.004808 7.735986 7.246993 9.805491 7.982204 8.763998 9.042688 6.44845 8.839557 6.803036 8.269999 6.336634 6.866022 13.62377 -100894.2 -83.00676 51586.08 7.943775 11.68719 7.097192 10.42379 8.811378 -5.068647 29.43195 6497.671 67246.33 12.81574 -12.01218
-0.1103993 1.629519 3.245566 -2.288965 -2.225055 -2.181867 -1.333223 0.7030475 8.301936 8.415248 11.1154 9.427408 6.265631 9.277009 7.387776 9.423044 6.4844 6.908784 9.86291 6.098358 9.336499 9.136176 10.34279 5.380027 8.630174 5.563271 99818.11 -8.256607 -37698.62 12.75147 5.33009 7.558144 6.607236 8.166889 -1.180234 23.60569 38892.17 -76759.15 18.15984 -62.65586
1.249001 3.094246 4.433505 -1.164608 -2.11092 -1.936005 -1.685963 0.9480134 8.468554 9.515171 12.39142 8.175832 8.713999 9.306019 7.850392 9.985918 8.673467 6.634829 9.584492 7.706479 9.466427 8.41997 7.832436 6.956992 9.9987 10.12462 206148.6 -17.78451 33420.96 12.42229 9.249388 9.40861 4.820587 10.28104 -6.328959 14.62603 118895.2 76874.2 10.68479 162.0609
1.307099 3.530741 3.848111 -2.1704 -2.951229 -3.105171 -2.35479 0.3542967 10.83594 9.84768 13.3317 9.604416 8.210382 10.13652 12.76226 11.49697 10.59806 10.1365 11.24681 7.051816 11.03157 8.955602 11.54961 11.82267 11.63012 11.24019 -121615.3 -31.02153 -53368.6 10.93439 3.553075 12.87021 6.859905 -8.965007 -13.8572 23.18424 -51118.08 36898.7 18.59069 -26.13059
1.071312 3.250777 3.798946 -3.37391 -2.668716 -3.548484 -3.460726 -0.5030944 10.95366 10.96625 13.44752 11.4488 7.375849 11.86521 11.19313 13.36192 12.18008 12.06527 12.20519 10.01996 10.35659 9.43354 12.67065 13.34487 10.23599 12.56578 75923.62 148.1324 19059.48 12.71514 12.15057 9.828305 5.742245 6.524476 -12.48244 3.011117 97378.65 8829.588 17.81666 14.41234
1.544856 3.80096 5.353148 -1.178003 -1.117479 -2.157518 -2.1736 -0.4731001 9.614895 10.44024 12.70807 11.01431 9.247679 11.14487 10.77147 12.65861 11.03986 8.397858 9.970367 10.18547 10.1017 10.10414 10.9019 9.471829 11.09744 12.81099 19381.37 -45.84726 37913.85 14.78944 12.40141 12.22282 10.33052 14.74596 5.139666 27.52921 -8003.091 34677.34 13.8295 64.87132
1.086553 2.541804 4.782037 -1.596404 -1.591716 -3.068087 -2.498572 -0.1792128 9.610082 10.08555 11.92952 11.20457 8.135504 10.97745 7.958595 11.35379 11.32014 8.232412 11.57734 8.392878 9.458985 10.51404 11.40949 6.016018 9.716972 9.705288 -74224.94 -25.0285 -82788.96 12.19193 11.01858 11.33591 7.39119 17.47235 0.3959094 10.87914 47507.78 312636.9 14.46846 -18.67855
1.479112 3.831005 5.353032 -1.743401 -1.674663 -2.059522 -1.578474 0.9684419 10.58102 9.660175 11.66887 11.27428 8.340515 10.15421 9.229879 10.85612 7.856831 9.407089 11.12401 7.235882 10.95573 9.666007 9.750317 9.022851 10.16898 12.52211 -79.23859 -26.45362 -117526.7 10.01457 5.653805 7.956778 5.814929 -3.891586 -17.89863 27.27657 127845.6 -52553.94 24.59371 25.07237
1.841508 4.695729 5.547116 -1.489612 -2.047341 -2.502517 -1.543012 0.04970411 11.23609 12.05674 14.55233 12.40392 11.53719 13.00444 14.82866 12.8391 12.76588 9.38792 13.31829 8.513139 11.72786 10.3638 11.63222 10.85918 11.17806 12.84242 119014.2 4.225566 -106679.2 12.30917 12.69777 12.22519 6.355139 -4.73349 -13.87014 47.61536 -40121.6 -64629.89 13.2462 -8.7612
0.5540867 2.855541 4.933478 -2.320337 -2.291147 -3.589944 -2.307029 0.663367 12.20203 12.14526 14.19303 12.13809 9.017433 13.94149 8.413046 13.91945 12.05627 16.17459 12.6064 9.323914 13.5597 11.91989 14.00578 13.85357 13.07428 14.62189 -177309.4 46.64432 -103815.2 13.11209 13.8877 12.17922 6.84697 6.388195 -10.74478 55.56784 143963.8 -77338.76 21.77814 126.5911
0.1633156 2.884207 3.532468 -1.82345 -2.020265 -3.32368 -2.415121 -0.5982532 11.86212 11.74383 13.9064 12.30144 10.23608 13.53948 13.43589 15.14254 12.54674 10.43504 12.93942 12.71356 12.76523 12.31088 14.88031 12.24997 12.98636 13.15373 -87117.46 63.0589 -132677.3 17.66742 14.92112 15.9923 13.07803 12.20706 -3.693708 33.91384 -63478.28 -20154.39 21.11198 -85.29451
