AnimalID,SampleID,ADDMI_keep,ADG_keep,FCR,Gender,Management_Group,heterosis,mathet,perANS,perHHS,perARS,perSHS,perDSS,perBMS,perBRS,perBNS,perSGS,perBVS,perCHS,perCAS,perGVS,perLMS,perMAS,perSAS,perSMS,perTAS,perBVSo,perCHSo,perLMSo,perHH,perAN,perSM,perCH,perM2,perM3,perRS,perBV,perBR,perXB,perRO
20171696,H1,11.3753846153846,0.7106265962,16.0075413391692,Steer,201701_HI_MD01,1,1,0,0,0.5,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.125,0,0,0,0,0,0,0
20171706,C5,8.49230769230769,1.0767462051,7.88700963336016,Steer,201701_HI_ME01,1,0.25,0.5,0,0,0.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0
20171707,A14,9.4,1.1666786891,8.05705982960172,Steer,201701_MI_MD01,1,1,0,0,0.1875,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0625,0,0,0,0,0,0,0,0,0
20171708,I21,8.49076923076923,0.7636819357,11.1182009601766,Steer,201701_HI_ME01,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0
20171709,D20,11.4215384615385,1.9050306913,5.99546165513185,Steer,201701_MI_ME01,1,1,0.5,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.25,0,0,0,0,0,0,0,0
20171710,D21,9.12,1.1363910024,8.02540673125625,Steer,201701_MI_MD01,0.125,0.25,0.03125,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0
20171712,H2,11.7446153846154,1.5890341409,7.39104030701534,Steer,201701_HI_ME01,0.484375,0.96875,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21875,0,0,0,0,0,0,0.125,0,0,0.03125,0,0,0,0,0,0
20171715,H3,10.0276923076923,1.1233027153,8.92697237450745,Steer,201701_MI_ME01,0.6875,0.875,0,0,0,0,0,0,0,0,0,0,0,0.75,0.1875,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
20171721,A15,9.78153846153846,1.0045396756,9.73733412340937,Steer,201701_MI_ME01,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0
20171723,H4,10.18,1.2579897701,8.09227566229793,Steer,201701_MI_MD01,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
20171726,C6,10.0984615384615,1.2780577512,7.90141253709376,Steer,201701_HI_MD01,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
20171728,H5,12.4338461538462,1.3530691294,9.18936503958211,Steer,201701_MI_MD01,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0
20171729,A16,11.3092307692308,1.1741211302,9.63208180003059,Steer,201701_HI_MD01,0.5,1,0.5,0,0.1875,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.125,0,0,0,0,0,0,0
20171731,I22,10.2215384615385,1.1961093765,8.54565532413788,Steer,201701_MI_ME01,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.25,0,0.125,0,0,0,0,0,0,0,0
20171739,I23,9.46769230769231,1.2352967518,7.66430600088324,Steer,201701_HI_ME01,0.984375,1,0,0.5,0.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.03125,0,0,0,0,0
20171751,F8,8.23692307692308,1.199681374,6.86592561611536,Steer,201701_MI_MD01,0.25,0.5,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0.0625,0.125,0,0,0,0,0,0,0,0
20171753,H6,11.5676923076923,1.1466260431,10.0884611659596,Steer,201701_HI_ME01,1,1,0.5,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.25,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0
20171755,C7,10.7030769230769,1.1298815348,9.47274257824868,Steer,201701_MI_MD01,0.96875,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0.25,0
20171756,F9,7.35538461538462,1.0077365453,7.29891621941223,Steer,201701_HI_MD01,1,0.25,0,0.375,0.0625,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0
20171758,H7,7.69692307692308,1.2738538274,6.04223413343498,Steer,201701_HI_MD01,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.875,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
20171763,C8,10.3,1.4580242705,7.06435428298311,Steer,201701_HI_ME01,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0
20171770,A18,9.57538461538462,1.2538904774,7.63653986370454,Steer,201701_MI_MD01,1,1,0.125,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0,0,0,0,0,0,0,0
20171772,J1,10.0076923076923,1.2222693311,8.18779630074309,Steer,201701_MI_MD01,1,0.921875,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.0625,0,0.125,0.5,0,0,0,0,0,0.03125,0,0,0,0.03125,0,0,0,0,0
20171774,J2,10.9292307692308,1.2813130696,8.52971145657841,Steer,201701_MI_ME01,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
20171775,J3,11.7292307692308,1.2649237285,9.27267826902084,Steer,201701_HI_ME01,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
20171777,F10,11.16,1.7758310088,6.28438175969303,Steer,201701_HI_ME01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.21875,0,0,0,0,0,0,0,0,0.03125,0,0.25,0,0,0,0,0,0,0
20171778,H8,10.6538461538462,1.2070355924,8.8264556744865,Steer,201701_MI_ME01,0.9375,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.21875,0,0,0,0.1875,0,0,0,0,0,0.03125,0.0625,0,0,0,0,0,0,0,0
20171779,C9,10.36,1.4918850411,6.94423478659009,Steer,201701_MI_ME01,1,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
20171784,F11,10.1784615384615,1.6241242659,6.26704603346419,Steer,201701_HI_MD01,0.375,0.75,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0.0625,0,0.125,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0
20171785,D22,8.84769230769231,1.1447124492,7.72918326683322,Steer,201701_HI_ME01,1,0.96875,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0.5,0,0.21875,0,0,0,0,0,0,0.0625,0,0,0.03125,0,0,0,0,0,0
