factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
-0.005316282 0.01413342 0.07274974 0.03583738 0.2028324 0.1988273 0.1431614 0.09220295 0.5422477 0.4920969 0.6658169 0.373334 0.7761599 0.7570978 0.8025276 0.7408797 0.6950357 0.2757885 0.665178 0.3226705 0.4713267 0.5243567 0.6048433 0.533118 0.4945121 0.4975944 25.59616 5.983433 45.40897 0.3870745 0.6820482 0.5533666 0.5172696 0.5386612 2.069414 -3.300048 -999.1281 -1.768967 0.03783723 1.551138
-0.0657026 -0.02244232 -0.05684673 0.2063698 0.2942496 0.2031079 0.09938172 0.0147764 0.6498172 0.6276646 0.62612 0.5205976 0.8590696 0.936923 0.4615071 0.7613961 0.6581982 0.6399593 0.7330189 0.222174 0.5558481 0.607725 0.8136483 0.6242218 0.5773039 0.1680194 -78.95407 -17.452 111.703 0.7022241 0.8804938 1.20674 0.8752369 0.2121572 2.562687 -6.737577 -345.3748 -0.787961 0.0463984 1.150483
-0.06530033 -0.03084897 -0.01587852 0.2263012 0.4776908 0.3085802 0.282283 0.05078563 0.5055994 0.6387042 0.5496563 0.6131438 0.7392481 0.7073278 0.5544875 0.7021059 0.2213428 0.5712419 0.6090592 0.2870512 0.536112 0.4203266 0.6225603 0.4869368 0.6270813 0.1806767 -104.0177 -2.029253 179.3703 0.4676728 0.3336114 0.6751155 0.530408 1.20048 1.331228 1.059027 -938.5914 -0.5909984 0.2521527 2.98866
-0.01566911 0.06965613 -0.006417696 0.1033941 0.218984 0.2045313 0.1155488 0.1087149 0.5599499 0.4559339 0.5509219 0.4187764 0.7987675 0.660397 0.5769537 0.5910392 0.5335768 0.4499861 0.623698 0.5581528 0.4548393 0.4650139 0.5717444 0.7559718 0.5905112 0.2390337 -153.5492 -8.170817 243.2157 0.5765563 0.5199272 0.5043859 0.830911 0.04904931 1.328297 -1.154392 -1109.088 -2.724465 -0.09459104 0.5474965
0.03831133 0.02373434 0.07535917 0.3773605 0.4728351 0.2653731 0.121939 0.04113702 0.4905541 0.472695 0.597662 0.587814 0.5683459 0.7655162 0.5442912 0.6377048 0.4535349 0.5952078 0.5663067 0.53551 0.5498839 0.4967941 0.8298286 0.4931082 0.507551 0.2082828 -165.5457 2.260543 223.7759 0.5169822 0.4838695 0.6309908 0.6752856 0.7271779 2.311413 7.943263 -784.0797 -1.219928 0.06136079 2.317318
0.07031592 0.01078383 0.05569571 0.1965124 0.4654351 0.339568 0.2002568 0.06267158 0.4661779 0.2843985 0.5229209 0.2654703 0.8152709 0.6648728 0.5396511 0.7643348 0.6901784 0.6550433 0.5274981 0.4041607 0.403381 0.4062064 0.5533413 0.2589248 0.5308755 0.1633149 -157.3635 15.58889 177.3577 0.4704248 0.3882859 0.4900884 0.8325028 -0.3503742 2.196995 10.69895 -389.2902 -1.765235 -0.246311 5.669561
-0.001500254 0.05350903 0.03213782 0.1673533 0.3265899 0.2849588 0.2288904 0.07713067 0.5605325 0.403698 0.5834164 0.2705102 0.3856433 0.6887829 0.4728786 0.6803273 0.3086878 0.5327447 0.42196 0.4375459 0.4893413 0.4957051 0.5645897 0.5993295 0.4937973 0.1732877 -179.6137 -18.98302 272.268 0.3277668 0.08214721 0.5676418 0.7191731 0.8044779 1.273148 -4.283779 -1173.273 -1.797425 0.1110641 1.121141
-0.01210534 0.07924151 0.005854451 0.1412543 0.2750689 0.2791494 0.1518494 0.05196947 0.4294128 0.3582404 0.6136132 0.3373797 0.3624684 0.5295714 0.2923048 0.4585524 0.5341314 0.5078048 0.4464069 0.2726061 0.4543508 0.2706481 0.5018024 0.4705938 0.3860487 0.1252841 -222.0054 24.4809 312.2848 0.7019827 0.7302865 0.7765188 0.7179813 0.6794235 1.49909 8.867711 -1266.8 -0.05118665 -0.03896308 2.057256
0.03687977 -0.005348756 -0.05035507 0.2101396 0.3303423 0.2571287 0.1986349 0.06047837 0.3663425 0.3801485 0.5233254 0.2593207 0.8501511 0.7242486 0.7658402 0.5901389 0.4419641 0.4088607 0.4557407 0.4418572 0.3526266 0.3455219 0.6312281 0.5236206 0.448506 0.132134 -261.1857 3.777906 371.5926 0.3900785 0.1413544 0.8005305 0.473129 0.6082623 1.579212 -0.5807952 -1583.224 -2.32245 0.08464964 -2.871626
0.01651832 0.04410643 0.01394425 0.2855735 0.4016364 0.3531606 0.2104525 0.04927368 0.3011124 0.3046964 0.346646 0.06746999 0.7497721 0.4953079 0.3584868 0.5133488 0.4641408 0.2677168 0.2814059 0.4741075 0.3332412 0.3418779 0.6472999 0.526687 0.2532294 -0.2497851 -207.8124 -27.56053 339.8195 0.6854317 0.2840015 0.8103219 0.5210075 0.5147177 2.327636 -1.814039 -1456.634 0.113409 -0.138526 0.7134746
