factor(Management_Group)201701_HI_ME01 factor(Management_Group)201701_MI_MD01 factor(Management_Group)201701_MI_ME01 factor(Management_Group)201801_FES_MD01 factor(Management_Group)201801_FES_ME01 factor(Management_Group)201802_FES_MD01 factor(Management_Group)201802_FES_ME01 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
0.1829449 0.5253408 0.2475322 0.1541645 0.2283207 0.643178 -0.09959478 0.8255992 2.010991 0.6924774 1.882826 1.661174 2.102415 1.635936 0.9672817 1.299159 0.3508858 0.1383338 1.743708 0.1501903 1.023078 0.3853163 0.05256437 0.5490657 1.014883 -0.3646976 1145.577 -58.9365 -1111.962 -1.254056 1.143182 1.041333 -0.7549129 4.293888 0.1390444 24.43962 1059.471 -3.722531 -0.2432885 -10.06283
0.1089963 -0.1228678 0.2155979 -0.6994367 -0.4192172 0.1175292 -0.07900118 1.111266 2.492375 1.115005 2.589388 2.010981 4.148574 1.346371 1.365273 2.421443 0.1538445 3.35364 2.252181 0.5513108 1.571172 0.6071577 0.1082771 1.975733 1.646289 -0.3087121 1265.009 -77.5747 -1171.715 -0.681248 1.96995 0.5996226 0.114413 -8.404161 0.5850792 20.33818 993.1129 -4.106659 0.2588863 1.117125
-0.05021018 0.2198337 0.05599794 0.3672777 -0.3975018 0.1400911 -0.307735 0.6984811 3.102568 0.9232286 2.720414 2.15769 0.935432 2.237291 1.274634 2.43695 -0.483037 2.291721 2.850485 1.154542 1.907748 1.20745 0.9590223 2.5455 1.569249 2.690618 1422.719 -95.64685 -1439.252 0.8151554 0.6351057 2.475397 0.82066 -2.206805 0.7028475 1.218352 2593.332 3.293638 -0.6781886 -0.7042457
0.05528267 0.437339 0.09712891 -0.2228819 -0.3550419 0.5139368 -0.1057699 0.7732283 3.200719 1.680018 3.213485 3.041297 2.749152 2.43837 2.634683 2.231789 2.058597 3.396637 3.112212 1.306542 2.057187 1.467389 0.9738119 2.822308 2.038131 1.632715 1497.123 -72.2589 -1222.35 1.232671 0.9152509 1.149874 0.8115918 1.062809 2.702397 45.76362 -1034.332 -5.487562 0.5000212 -7.447892
-0.1039686 0.2799948 0.06187013 -0.1103232 -0.2602869 0.1894571 -0.475937 0.8476562 3.117864 1.384212 2.669627 2.712286 2.470441 1.053355 2.894393 1.789277 0.5501324 2.215912 2.956241 1.667843 2.125967 1.60598 2.932965 2.577034 1.686001 0.5388385 1382.301 19.04481 -1289.615 0.3793009 0.6158398 3.178424 0.2881056 0.9780025 1.103114 0.2559481 715.8987 -4.091094 -0.2291212 -15.11979
0.09791814 0.1585108 -0.1086225 -0.4867653 -0.3239112 -0.129427 -0.4536774 0.7592816 3.091119 1.684105 3.209614 3.420742 1.337088 2.368881 2.110949 2.2154 1.272986 3.842586 3.036308 0.7018406 1.600223 1.661392 1.815039 2.563249 1.863387 0.2520635 1705.692 -1.2789 -1610.17 0.4865405 2.573959 2.707149 0.3711404 -2.375248 3.916279 40.35587 780.4904 0.7023795 -0.701855 -16.00933
-0.006216741 0.190563 0.1300942 -0.2169503 -0.5188616 -0.0701205 -0.2266179 0.4226647 2.944988 1.886535 3.201593 3.325443 1.768745 1.881571 1.725006 1.525057 3.347023 2.697059 2.571194 1.661773 1.976229 1.512605 2.163178 2.593861 1.89027 1.373703 1564.702 -69.99353 -1399.674 0.6425166 1.782171 2.870006 1.644214 1.962817 4.064353 -15.43056 79.75448 -1.249414 1.346078 -12.83401
0.03190263 -0.03680131 0.1378375 0.1070628 -0.0337467 0.4550539 -0.003607673 0.7128203 2.98499 1.435126 3.575794 2.861226 2.186677 2.081426 1.659674 2.409963 0.1842664 2.851471 2.705026 1.032236 1.671143 1.289225 0.9978877 2.779631 1.640521 1.305112 1727.52 -71.68276 -1487.153 0.3252729 1.289018 2.483955 0.7769523 2.001765 3.461944 33.79418 -152.7496 -2.720437 0.4432115 -13.03095
-0.1370962 0.2373243 0.015594 -0.2346173 -0.4456098 0.5379895 0.1796147 0.6005482 3.06662 1.48299 2.772436 2.126735 2.509542 1.557666 3.015842 2.954586 0.1726229 2.285074 3.441616 1.210913 1.610747 1.551836 1.216351 3.492295 2.182151 1.069847 1923.137 -68.49804 -1484.519 1.66725 1.829255 2.816577 1.000192 -1.740837 3.563647 35.17302 -2847.8 -2.895267 0.9574188 0.5489633
-0.03855142 0.4537081 0.04160015 0.08497731 0.02198118 0.6336168 0.4409109 0.8795384 2.681166 1.354211 2.653362 2.394701 3.781959 0.4749455 1.663536 2.157965 -0.5887313 1.698278 2.234979 1.38928 1.264377 1.128829 0.9412254 0.4226774 1.709796 0.7525096 1605.512 -99.90396 -927.941 0.3420878 1.339575 2.194992 2.072477 -1.107563 0.8597795 -6.622882 -5208.07 3.919542 0.5980307 3.585479
