factor(Management_Group)201801_FEH_HGD2 factor(Management_Group)201802_FEH_HGD1 factor(Management_Group)201802_FEH_HGD2 factor(Management_Group)201901_FEH_HGD1 factor(Management_Group)201901_FEH_HGD2 factor(Management_Group)201902_FEH_HGD1 factor(Management_Group)201902_FEH_HGD2 heterosis perANS perHHS perARS perSHS perDSS perBMS perBRS perBNS perSGS perBVS perCHS perCAS perGVS perLMS perMAS perSAS perSMS perTAS perBVSo perCHSo perLMSo perHH perAN perSM perCH perM2 perM3 perRS perBV perBR perXB perRO
1.578683 -0.8216125 -0.8763922 -2.240108 -3.281572 -0.9084978 0.003953194 0.2045279 3.742244 2.551203 3.48843 3.51774 3.609833 4.140948 3.469347 2.639943 2.966291 4.487829 3.94036 1.001727 3.838799 3.523705 3.424535 3.160958 4.316001 0.2092634 36869.74 46.24265 133202.9 4.512522 0.7495977 3.208394 0.8813287 3.13875 -1.254112 5.461073 -167304.1 44310.87 10.95186 -12.22687
1.031218 -1.300088 -0.9851975 -2.92121 -3.479923 -1.244875 -0.04725392 0.3872131 5.369083 3.458252 4.010621 5.620407 3.637175 4.63611 3.204999 4.45838 4.819238 5.702961 5.724934 4.710728 5.660093 5.374315 6.057545 5.660175 5.758672 3.287375 176031.6 -0.07023969 194431.4 3.144541 3.71199 1.731764 -0.4462797 2.639214 -15.0864 25.16229 -88817.13 77596.51 13.70217 29.0252
1.735912 -1.600952 -1.579381 -2.627807 -3.296818 -1.547415 -0.8331955 0.458532 6.09293 3.911889 5.326657 6.189924 5.494503 4.733847 3.970156 4.6793 4.28812 5.91729 6.281316 3.730753 6.819462 5.208645 6.189153 4.119945 5.752908 3.532787 -185344.6 61.20998 96375.04 3.331153 5.673213 4.616624 0.546626 4.922196 -8.817893 39.38358 106100.5 152415.4 8.78791 -21.91996
1.792481 -2.634395 -1.898573 -2.488026 -3.644205 -1.611972 -0.9230877 -0.2632456 5.340413 3.033099 5.204035 5.242033 5.606043 5.020417 0.9745783 4.40829 1.788892 8.637208 5.995459 3.278043 5.363237 4.21776 6.24965 6.748606 5.533488 3.929353 86906.27 66.81516 -46358.41 6.475344 6.478906 6.106511 2.508522 -0.4345896 7.146188 22.15116 67299.82 -34589.45 13.08355 20.76251
1.360819 -2.513256 -2.636465 -3.359921 -3.51898 -1.387387 -0.9818995 -0.273987 5.444312 3.378589 4.784888 4.633729 4.887454 3.599185 1.649814 4.556176 2.016759 5.19205 4.419248 2.747484 5.050041 4.638202 5.07121 5.927405 4.252184 3.491003 -45721.97 -17.09541 -205868.4 4.336302 6.266944 5.586212 4.782978 7.749548 -4.612113 34.36037 99911.92 -54231.19 13.02478 -87.39928
1.37013 -1.766592 -1.95352 -2.783217 -3.60628 -2.028674 -1.10114 0.3521421 4.511081 3.716371 5.167324 4.482018 3.476897 3.501887 2.119257 3.94713 1.60236 4.022248 4.530996 0.3858495 5.113438 3.413121 3.192225 2.57955 4.377689 2.497347 6882.822 -33.46542 175772.1 4.207425 4.022305 6.645917 4.318377 -1.084634 -6.941258 33.68843 -36264.42 -25346.56 2.64012 22.72662
1.377041 -1.653876 -1.144117 -2.498239 -2.91371 -1.553914 -0.3471837 0.5342777 4.237394 2.649202 4.012333 3.557968 2.364317 3.779815 2.085509 2.235914 3.465775 5.610116 4.309307 3.198681 4.837115 3.447348 2.409604 2.774112 3.730002 0.3459574 -121874.6 -1.265653 -249985.5 2.852596 5.460364 3.533524 2.377701 5.894223 -6.842354 13.55955 18515.05 -86845.08 8.774845 -12.24516
1.304261 -2.485444 -2.007351 -3.538929 -3.959861 -2.113572 -1.670195 0.6698052 4.978361 3.333316 4.330285 3.663873 3.4083 2.468425 0.2185263 3.167306 1.993031 7.842994 4.798956 1.682785 4.478209 4.004174 4.302546 4.469296 4.748726 2.917056 -83601.76 -0.8330079 29350.24 3.393227 6.033655 4.354278 -0.6888316 3.686611 -3.897692 41.93713 76404.77 -38193.13 8.365413 -58.01932
1.29883 -2.061241 -1.783314 -2.756472 -3.34166 -1.833197 -0.8072711 -0.09284945 3.989638 3.197038 3.710396 3.238906 3.107807 3.453893 -1.002284 2.894271 2.117233 4.236307 4.534449 1.721917 4.173865 2.806497 4.640897 3.08912 3.702257 1.907373 11943.4 23.02426 -83543.8 1.591807 2.146254 4.387768 -1.765664 1.137777 -7.02303 40.94939 98817.5 -88497.59 7.641872 -28.72103
1.628386 -1.442208 -1.796275 -3.002155 -3.39006 -0.9856643 -1.162228 0.1284251 3.030053 2.015619 3.078852 3.22802 3.882653 2.794181 0.705219 2.180624 -0.05273044 2.936331 2.84756 1.198529 2.942449 1.925126 3.095483 2.298122 2.490666 1.408819 -332.9458 44.40198 -81183.49 3.471614 4.824551 5.164719 0.8867641 5.500619 -6.940814 21.49764 -48351.84 210251.5 10.74747 100.5167
